Date,TotalCases,TotalRecoveries,TotalDeaths,TotalTests,TotalTestsNegative
2020-03-02,0,0,0,0,0
2020-03-03,1,0,0,0,0
2020-03-04,1,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,2,0,0,0,0
2020-03-07,9,0,0,0,0
2020-03-08,12,0,0,0,0
2020-03-09,17,0,1,0,0
2020-03-10,19,0,1,0,0
2020-03-11,21,0,1,0,0
2020-03-12,31,0,1,0,0
2020-03-13,34,0,2,0,0
2020-03-14,45,0,2,0,0
2020-03-15,56,0,2,0,0
2020-03-16,65,0,2,529,464
2020-03-17,78,0,2,574,496
2020-03-18,97,18,3,659,562
2020-03-19,128,23,3,833,705
2020-03-20,158,31,3,1030,872
2020-03-21,225,31,4,1253,1028
2020-03-22,266,51,4,1537,1271
2020-03-23,301,52,4,1754,1453
2020-03-24,385,63,6,1838,1453
2020-03-25,502,72,8,2448,1946
2020-03-26,589,75,12,2847,2258
2020-03-27,690,80,17,3507,2817
2020-03-28,745,91,19,3960,3215
2020-03-29,820,228,20,4400,3580
2020-03-30,966,240,24,5031,4065
2020-03-31,1054,248,27,5651,4597
2020-04-01,1133,256,32,6277,5144
2020-04-02,1265,266,36,7385,6120
2020-04-03,1353,279,42,8488,7135
2020-04-04,1451,280,43,8945,7494
2020-04-05,1554,325,46,9679,8125
2020-04-06,1628,338,53,10335,8707
2020-04-07,1715,358,60,11735,10020
2020-04-08,1795,365,65,13180,11385
2020-04-09,1894,375,79,,
2020-04-10,1975,440,82,15559,13584
2020-04-11,2142,468,89,17158,15016
2020-04-12,2208,515,95,18147,15939
2020-04-13,2277,559,98,19522,17245
2020-04-14,2443,596,105,20858,18415
2020-04-15,2571,631,112,22719,20148
2020-04-16,2669,666,122,24471,21802
2020-04-17,2758,685,129,26049,23291
2020-04-18,2839,709,132,27595,24756
2020-04-19,2941,737,134,29063,26122
2020-04-20,3031,840,142,30763,27732
2020-04-21,3144,872,151,32973,29829
2020-04-22,3288,919,159,35133,31845
2020-04-23,3435,976,165,37309,33874
2020-04-24,3607,1030,176,39674,36067
2020-04-25,3780,1107,185,41434,37654
2020-04-26,3892,1140,192,43312,39420
2020-04-27,4003,1162,197,44962,40959
2020-04-28,4127,1192,207,46837,42710
2020-04-29,4285,1256,214,49113,44828
2020-04-30,4427,1292,218,51256,46829
2020-05-01,4531,1320,225,53122,48591
2020-05-02,4679,1354,237,54777,50098
2020-05-03,4782,1442,246,56372,51590
2020-05-04,4886,1472,260,58089,53203
2020-05-05,5020,1524,264,60247,55227
2020-05-06,5208,1601,273,62384,57176
2020-05-07,5371,1659,282,64451,59080
2020-05-08,5611,1728,293,66636,61025
2020-05-09,5776,1757,300,68536,62760
2020-05-10,6034,1837,305,70138,64104
2020-05-11,6278,1862,314,72254,65976
2020-05-12,6563,2266,319,74800,68237
2020-05-13,6878,2385,329,77376,70497
2020-05-14,7133,2497,353,80106,72972
2020-05-15,7478,2534,356,83126,75647
2020-05-16,7805,2569,363,85387,77582
2020-05-17,8068,2625,373,87530,79462
2020-05-18,8371,2872,382,89837,81466
2020-05-19,8809,2933,393,93258,84449
2020-05-20,9283,3032,403,96730,87447
2020-05-21,9930,3062,416,100598,90667
2020-05-22,10648,3530,433,104177,93528
2020-05-23,11352,3732,445,107212,95859
2020-05-24,12075,3999,452,110428,98352
2020-05-25,12627,4167,467,113267,100639
2020-05-26,13227,4349,490,116401,103173
2020-05-27,13933,4617,500,120389,106456
2020-05-28,14702,4788,508,124834,110132
2020-05-29,15419,5100,520,128733,113314
2020-05-30,16214,5336,528,132429,116215
2020-05-31,16851,5521,539,135667,118816
2020-06-01,17415,5709,556,138826,121411
2020-06-02,18319,5896,569,143011,124692
2020-06-03,19268,5993,583,147299,128031
2020-06-04,20197,6088,608,151805,131608
2020-06-05,21037,6180,632,155679,134642
2020-06-06,22020,6909,648,159860,137840
2020-06-07,22794,7305,664,163196,140402
2020-06-08,23620,7568,693,167102,143482
2020-06-09,24761,7991,717,171939,147178
2020-06-10,25987,8332,735,176742,150755
2020-06-11,27373,8743,765,182098,154725
2020-06-12,28764,9083,785,187455,158691
2020-06-13,30295,9564,815,192641,162346
2020-06-14,31577,9891,833,197188,165611
2020-06-15,32785,10174,854,201381,168596
2020-06-16,34159,10512,878,206014,171855
2020-06-17,35552,10721,913,211106,175554
2020-06-18,37510,11977,948,217957,180447
2020-06-19,39570,12206,979,224872,185302
2020-06-20,41204,12728,992,230056,188852
2020-06-21,42785,13153,1011,235329,192544
2020-06-22,44931,13576,1043,241770,196839
2020-06-23,47216,13816,1078,249596,202380
2020-06-24,49851,14788,1116,257250,207399
2020-06-25,52457,18416,1150,264780,212323
2020-06-26,55343,19143,1184,273109,217766
2020-06-27,57744,20134,1207,280073,222329
2020-06-28,59933,21138,1232,286071,226138
2020-06-29,62268,22028,1280,293356,231088
2020-06-30,64530,23040,1307,300147,235617
2020-07-01,67197,24186,1351,307807,240610
2020-07-02,69941,25224,1385,315056,245115
2020-07-03,72786,25930,1437,322580,249794
2020-07-04,75376,27597,1481,329874,254498
2020-07-05,77815,28531,1507,335840,258025
2020-07-06,80447,30095,1582,342814,262367
2020-07-07,83426,36502,1643,350364,266938
2020-07-08,87030,38313,1694,359379,272349
2020-07-09,90693,38984,1720,368504,277811
2020-07-10,94060,41408,1774,377081,283021
2020-07-11,97509,42694,1810,385674,288165
2020-07-12,100166,44173,1845,392584,292418
2020-07-13,103265,45467,1903,400457,297192
2020-07-14,106910,47298,1968,409985,303075
2020-07-15,111160,49120,2050,420907,309747
2020-07-16,114783,49780,2112,430180,315397
2020-07-17,119301,52607,2178,440917,321616
2020-07-18,122606,54105,2204,448492,325886
2020-07-19,126837,55913,2260,458273,331436
2020-07-20,130774,58598,2373,468011,337237
2020-07-21,136118,60531,2490,480799,344681
2020-07-22,141900,62815,2588,493758,351858
2020-07-23,148027,65447,2702,507783,359756
2020-07-24,153520,68022,2807,520763,367243
2020-07-25,158334,70518,2893,532058,373724
2020-07-26,162526,72575,2939,541466,378940
2020-07-27,167416,75083,3059,552288,384872
2020-07-28,173355,77855,3179,565314,391959
2020-07-29,178996,80596,3288,579026,400030
2020-07-30,185373,83780,3441,593595,408222
2020-07-31,191302,86499,3542,607456,416154
2020-08-01,196543,89026,3595,618820,422277
2020-08-02,201919,91302,3647,629407,427488
2020-08-03,206743,94129,3811,640813,434070
2020-08-04,213535,96948,3979,655531,441996
2020-08-05,220682,99852,4106,671234,450552
2020-08-06,228195,103297,4251,686962,458767
2020-08-07,235677,108242,4411,704900,469223
2020-08-08,241811,170109,4523,718753,476942
2020-08-09,246499,174974,4606,728584,482085
2020-08-10,253868,181389,4764,744411,490543
2020-08-11,260911,187283,5004,761560,500649
2020-08-12,268574,192434,5213,779667,511093
2020-08-13,276072,199005,5362,797943,521871
2020-08-14,282437,205697,5527,814849,532412
2020-08-15,289100,211702,5637,831108,542008
2020-08-16,294569,217850,5703,844093,549524
2020-08-17,299126,223531,5814,856325,557199
2020-08-18,305966,228725,6047,873050,567084
2020-08-19,312659,233651,6330,889546,576887
2020-08-20,320884,239806,6516,909158,588274
2020-08-21,329043,245781,6730,928348,599305